PING 180.149.145.158 (180.149.145.158) 56(84) bytes of data.
64 bytes from 180.149.145.158: icmp_seq=1 ttl=49 time=91.3 ms
64 bytes from 180.149.145.158: icmp_seq=2 ttl=49 time=76.7 ms
64 bytes from 180.149.145.158: icmp_seq=3 ttl=49 time=76.2 ms
64 bytes from 180.149.145.158: icmp_seq=4 ttl=49 time=78.6 ms
64 bytes from 180.149.145.158: icmp_seq=5 ttl=49 time=76.9 ms
64 bytes from 180.149.145.158: icmp_seq=6 ttl=49 time=86.8 ms
64 bytes from 180.149.145.158: icmp_seq=7 ttl=49 time=74.9 ms
64 bytes from 180.149.145.158: icmp_seq=8 ttl=49 time=83.9 ms
64 bytes from 180.149.145.158: icmp_seq=9 ttl=49 time=76.7 ms
64 bytes from 180.149.145.158: icmp_seq=10 ttl=49 time=80.8 ms
64 bytes from 180.149.145.158: icmp_seq=11 ttl=49 time=77.9 ms
64 bytes from 180.149.145.158: icmp_seq=12 ttl=49 time=79.0 ms
64 bytes from 180.149.145.158: icmp_seq=13 ttl=49 time=85.7 ms
64 bytes from 180.149.145.158: icmp_seq=14 ttl=49 time=84.7 ms
64 bytes from 180.149.145.158: icmp_seq=15 ttl=49 time=74.0 ms
64 bytes from 180.149.145.158: icmp_seq=16 ttl=49 time=81.7 ms
64 bytes from 180.149.145.158: icmp_seq=17 ttl=49 time=74.9 ms
64 bytes from 180.149.145.158: icmp_seq=18 ttl=49 time=77.9 ms
64 bytes from 180.149.145.158: icmp_seq=19 ttl=49 time=80.6 ms
64 bytes from 180.149.145.158: icmp_seq=20 ttl=49 time=89.7 ms
64 bytes from 180.149.145.158: icmp_seq=21 ttl=49 time=77.2 ms
64 bytes from 180.149.145.158: icmp_seq=22 ttl=49 time=76.7 ms
64 bytes from 180.149.145.158: icmp_seq=23 ttl=49 time=75.0 ms
64 bytes from 180.149.145.158: icmp_seq=24 ttl=49 time=77.5 ms
64 bytes from 180.149.145.158: icmp_seq=25 ttl=49 time=77.0 ms
64 bytes from 180.149.145.158: icmp_seq=26 ttl=49 time=75.8 ms
64 bytes from 180.149.145.158: icmp_seq=27 ttl=49 time=77.9 ms
64 bytes from 180.149.145.158: icmp_seq=28 ttl=49 time=79.2 ms
64 bytes from 180.149.145.158: icmp_seq=29 ttl=49 time=76.3 ms
64 bytes from 180.149.145.158: icmp_seq=30 ttl=49 time=89.0 ms
64 bytes from 180.149.145.158: icmp_seq=31 ttl=49 time=77.6 ms
64 bytes from 180.149.145.158: icmp_seq=32 ttl=49 time=81.9 ms
64 bytes from 180.149.145.158: icmp_seq=33 ttl=49 time=95.9 ms
64 bytes from 180.149.145.158: icmp_seq=34 ttl=49 time=78.6 ms
64 bytes from 180.149.145.158: icmp_seq=35 ttl=49 time=83.0 ms
64 bytes from 180.149.145.158: icmp_seq=36 ttl=49 time=76.6 ms
64 bytes from 180.149.145.158: icmp_seq=37 ttl=49 time=80.0 ms
64 bytes from 180.149.145.158: icmp_seq=38 ttl=49 time=84.8 ms
64 bytes from 180.149.145.158: icmp_seq=39 ttl=49 time=78.0 ms
64 bytes from 180.149.145.158: icmp_seq=40 ttl=49 time=89.7 ms
64 bytes from 180.149.145.158: icmp_seq=41 ttl=49 time=83.9 ms
64 bytes from 180.149.145.158: icmp_seq=42 ttl=49 time=86.7 ms
64 bytes from 180.149.145.158: icmp_seq=43 ttl=49 time=80.9 ms
64 bytes from 180.149.145.158: icmp_seq=44 ttl=49 time=78.8 ms
64 bytes from 180.149.145.158: icmp_seq=45 ttl=49 time=77.9 ms
64 bytes from 180.149.145.158: icmp_seq=46 ttl=49 time=76.8 ms
64 bytes from 180.149.145.158: icmp_seq=47 ttl=49 time=80.9 ms
64 bytes from 180.149.145.158: icmp_seq=48 ttl=49 time=79.0 ms
64 bytes from 180.149.145.158: icmp_seq=49 ttl=49 time=72.8 ms
64 bytes from 180.149.145.158: icmp_seq=50 ttl=49 time=76.0 ms
64 bytes from 180.149.145.158: icmp_seq=51 ttl=49 time=78.6 ms
64 bytes from 180.149.145.158: icmp_seq=52 ttl=49 time=76.9 ms
64 bytes from 180.149.145.158: icmp_seq=53 ttl=49 time=80.8 ms
64 bytes from 180.149.145.158: icmp_seq=54 ttl=49 time=78.8 ms
64 bytes from 180.149.145.158: icmp_seq=55 ttl=49 time=73.0 ms
64 bytes from 180.149.145.158: icmp_seq=56 ttl=49 time=91.1 ms
64 bytes from 180.149.145.158: icmp_seq=57 ttl=49 time=79.4 ms
64 bytes from 180.149.145.158: icmp_seq=58 ttl=49 time=73.8 ms
64 bytes from 180.149.145.158: icmp_seq=59 ttl=49 time=80.9 ms
64 bytes from 180.149.145.158: icmp_seq=60 ttl=49 time=86.1 ms
64 bytes from 180.149.145.158: icmp_seq=61 ttl=49 time=74.7 ms
64 bytes from 180.149.145.158: icmp_seq=62 ttl=49 time=82.8 ms
64 bytes from 180.149.145.158: icmp_seq=63 ttl=49 time=130 ms
64 bytes from 180.149.145.158: icmp_seq=64 ttl=49 time=290 ms
64 bytes from 180.149.145.158: icmp_seq=65 ttl=49 time=210 ms
64 bytes from 180.149.145.158: icmp_seq=66 ttl=49 time=115 ms
64 bytes from 180.149.145.158: icmp_seq=67 ttl=49 time=79.0 ms
64 bytes from 180.149.145.158: icmp_seq=68 ttl=49 time=83.7 ms
64 bytes from 180.149.145.158: icmp_seq=69 ttl=49 time=71.9 ms
64 bytes from 180.149.145.158: icmp_seq=70 ttl=49 time=81.8 ms
64 bytes from 180.149.145.158: icmp_seq=71 ttl=49 time=79.6 ms
64 bytes from 180.149.145.158: icmp_seq=72 ttl=49 time=80.9 ms
64 bytes from 180.149.145.158: icmp_seq=73 ttl=49 time=89.9 ms
64 bytes from 180.149.145.158: icmp_seq=74 ttl=49 time=78.6 ms
64 bytes from 180.149.145.158: icmp_seq=75 ttl=49 time=76.9 ms
64 bytes from 180.149.145.158: icmp_seq=76 ttl=49 time=76.9 ms
64 bytes from 180.149.145.158: icmp_seq=77 ttl=49 time=79.7 ms
64 bytes from 180.149.145.158: icmp_seq=78 ttl=49 time=73.8 ms
64 bytes from 180.149.145.158: icmp_seq=79 ttl=49 time=189 ms
64 bytes from 180.149.145.158: icmp_seq=80 ttl=49 time=79.6 ms
64 bytes from 180.149.145.158: icmp_seq=81 ttl=49 time=79.8 ms
64 bytes from 180.149.145.158: icmp_seq=82 ttl=49 time=77.8 ms
64 bytes from 180.149.145.158: icmp_seq=83 ttl=49 time=74.8 ms
64 bytes from 180.149.145.158: icmp_seq=84 ttl=49 time=72.8 ms
64 bytes from 180.149.145.158: icmp_seq=85 ttl=49 time=95.9 ms
64 bytes from 180.149.145.158: icmp_seq=86 ttl=49 time=93.8 ms
64 bytes from 180.149.145.158: icmp_seq=87 ttl=49 time=93.9 ms
64 bytes from 180.149.145.158: icmp_seq=88 ttl=49 time=86.4 ms
64 bytes from 180.149.145.158: icmp_seq=89 ttl=49 time=81.1 ms
64 bytes from 180.149.145.158: icmp_seq=90 ttl=49 time=78.6 ms
64 bytes from 180.149.145.158: icmp_seq=91 ttl=49 time=88.0 ms
64 bytes from 180.149.145.158: icmp_seq=92 ttl=49 time=76.7 ms
64 bytes from 180.149.145.158: icmp_seq=93 ttl=49 time=85.4 ms
